"№ статьи";"Статья ДДС";"Группа";"Вид деятельности";"Описание статьи";"Источники информации";"Комментарий"
"";"00 Внутреннее перемещение (доход)";"Поступление";"Техническая операция";"";"Отчет \"Оплата по фондам\" из 1С";"изменил название"
"";"01 фонд GH";"Поступление";"01 Операционная деятельность";"оптовые продажи GH";"Отчет \"Оплата по фондам\" из 1С";""
"";"02 фонд EH";"Поступление";"01 Операционная деятельность";"розничные продажи со всех площадок";"Отчет \"Оплата по фондам\" из 1С";"не актуальный"
"удалить";"05 фонд благоустройства территории";"Выбытие";"01 Операционная деятельность";"цветы, деревья, кусты, удобрение";"Отчет \"Оплата по фондам\" из 1С";"не использовать, перенесено в фонд АХО"
"поменять на 06 фонд Подрядчиков";"06 фонд Провизион третьим лицам";"Выбытие";"01 Операционная деятельность";"провизионы, комиссии, бонусы";"Отчет \"Оплата по фондам\" из 1С";"изменил название"
"641";"06 фонд Образования";"Выбытие";"01 Операционная деятельность";"курсы и обучающие материалы линейного персонала";"Отчет \"Оплата по фондам\" из 1С";"изменил название"
